USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        1000  0.0  1.8 1382516 93424 ?       Ssl  20:23   0:00 /usr/sbin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root         975  0.0  0.8 1336712 45116 ?       Ssl  20:23   0:03 /usr/bin/containerd
root        2938  0.0  0.4 1322148 23680 ?       Sl   21:02   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 606cbbab5967bbbaf9d369367a3affade54721de35f0bb5cf4763bccbc06137a -address /run/containerd/containerd.sock
root         996  0.0  0.4 109184 21192 ?        Ssl  20:23   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        2920  0.0  0.3 1148292 15136 ?       Sl   21:02   0:00 /usr/sbin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 2223 -container-ip 172.17.0.2 -container-port 22
root         303  0.0  0.2  31984 14992 ?        Ss   20:23   0:00 /lib/systemd/systemd-journald
root           1  0.0  0.2 101768 12868 ?        Ss   20:23   0:01 /sbin/init vultr
systemd+     461  0.0  0.2  24632 12640 ?        Ss   20:23   0:00 /lib/systemd/systemd-resolved
root         234  0.0  0.0      0     0 ?        I<   20:23   0:00 [ext4-rsv-conver]
root         248  0.0  0.0      0     0 ?        S    20:23   0:00 [hwrng]
root         309  0.0  0.0      0     0 ?        I<   20:23   0:00 [rpciod]
root         312  0.0  0.0      0     0 ?        I<   20:23   0:00 [xprtiod]
root         399  0.0  0.0      0     0 ?        I<   20:23   0:00 [ixgbe]
root         420  0.0  0.0      0     0 ?        S    20:23   0:00 [watchdogd]
root         494  0.0  0.0      0     0 ?        I<   20:23   0:00 [cryptd]
root         499  0.0  0.0      0     0 ?        I<   20:23   0:00 [ttm_swap]
root         967  0.0  0.0      0     0 ?        I<   20:23   0:00 [kworker/u3:1-xprtiod]
root         968  0.0  0.0      0     0 ?        I    20:23   0:00 [lockd]
root        1227  0.0  0.0      0     0 ?        I    20:23   0:00 [nfsd]
root        1228  0.0  0.0      0     0 ?        I    20:23   0:00 [nfsd]
root        1229  0.0  0.0      0     0 ?        I    20:23   0:00 [nfsd]
root        1230  0.0  0.0      0     0 ?        I    20:23   0:00 [nfsd]
root        1231  0.0  0.0      0     0 ?        I    20:23   0:00 [nfsd]
root        1232  0.0  0.0      0     0 ?        I    20:23   0:00 [nfsd]
root        1233  0.0  0.0      0     0 ?        I    20:23   0:00 [nfsd]
root        1234  0.0  0.0      0     0 ?        I    20:23   0:00 [nfsd]
root        5053  0.0  0.0      0     0 ?        I    22:08   0:00 [kworker/u2:3-events_unbound]
root        5178  0.0  0.0      0     0 ?        I    22:13   0:00 [kworker/u2:0-flush-254:0]
root        5193  0.0  0.0      0     0 ?        I    22:14   0:00 [kworker/0:1-events]
